Index,Gaming_Company,Game_Name,total_units_sold,Price_Sold,Date_Released,Game_Type,Count
0,1,Bloodborne,9.235,¥6.900,2015.03.26,PS4,1
1,1,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,16.422,¥9.980,2019.09.27,NSW,1
2,1,Final Fantasy XV,31.524,¥12.96,2016.11.29,PS4,3
3,1,Gran Turismo 6,9.642,¥7.600,2013.12.05,PS3,1
4,1,"Pokemon: Let's Go, Eevee!",12.909,¥9.980,2018.11.16,NSW,2
5,1,"Pokemon: Let's Go, Pikachu!",15.174,¥9.980,2018.11.16,NSW,2
6,1,Resident Evil 3,46.588,¥7.800,2020.04.03,PS4,1
7,1,Splatoon 2,17.763,¥35.96,2017.07.21,NSW,3
8,1,Super Mario Maker 2,19.982,¥6.980,2019.06.28,NSW,2
9,1,Super Mario Odyssey,12.906,¥37.98,2017.10.27,NSW,1
10,2,The Legend of Zelda: Breath of the Wild,14.534,¥6.980,2017.11.23,NSW,3
11,11-11-2006,Clubhouse Games: 51 Worldwide Classics <TBL>,32.673,¥3.980,2020.06.05,NSW,58
12,3,Splatoon 2,13.707,¥35.96,2017.07.21,NSW,3
13,3,The Legend of Zelda: Breath of the Wild,40.995,¥6.980,2017.11.23,NSW,3
14,3goo,ATV Drift & Tricks <RCE>,979,¥3.980,2018.01.18,PS4,1
15,3goo,Battle Princess Madelyn <ADV>,1.504,¥3.200,2018.12.20,NSW,1
16,3goo,Construction Simulator 2 & 3 Double Pack <Construction Simulator 2: Console Edition \\ Construction Simulator 3: Console Edition> <SLG>,2.085,¥4.600,2020.11.05,NSW,1
17,3goo,Dead by Daylight <ACT>,84.303,¥5.600,2018.11.29,PS4,8
18,3goo,Dead by Daylight: Definitive Edition <ACT>,88.668,¥4.600,2019.09.26,NSW,5
19,3goo,Dead by Daylight: Silent Hill Edition <Dead by Daylight \\ Dead by Daylight: Silent Hill> <ACT>,7.037,¥4.900,2020.11.19,NSW,2
20,3goo,Dead by Daylight: Survivor Edition <Dead by Daylight \\ Dead by Daylight: The Lullaby for the Dark Chapter \\ Dead by Daylight: Halloween \\ Dead by Daylight: Leatherface \\ Dead by Daylight: Freddy Krueger \\ Dead by Daylight: The SAW Chapter \\ Dead by Daylight: Shattered Bloodline \\ Dead by Daylight: Darkness Among Us \\ Dead by Daylight: Ash Vs Evil Dead>)<ACT>,1.275,¥9.200,2019.06.20,PS4,1
21,3goo,Dead by Daylight: The Story of Yamaoka Family <ACT>,36.036,¥4.600,2020.02.13,PS4,2
22,3goo,Gear.Club Unlimited 2 <RCE>,16.279,¥5.800,2018.12.13,NSW,3
23,3goo,Gear.Club Unlimited 2: Ultimate Edition <RCE>,1.236,¥4.500,2021.04.15,NSW,1
24,3goo,Gear.Club Unlimited <RCE>,25.655,¥4.800,2017.12.14,NSW,3
25,3goo,Metro: Redux Double Pack <Metro: Redux \\ Metro: Last Light Redux> <ACT>,5.509,¥5.400,2020.04.23,NSW,1
26,3goo,Minecraft: Story Mode - Season Two: The Telltale Series <ADV>,7.152,¥2.980,2018.03.08,PS4,2
27,3goo,Override: Mech City Brawl - Super Charged Mega Edition <ACT>,1.465,¥4.200,2019.04.18,PS4,1
28,3goo,Remothered Double Pack <Remothered: Tormented Fathers Remastered \\ Remothered: Broken Porcelain> <ADV>,2.066,¥5.600,2020.12.03,PS4,2
29,3goo,Rugby 20 <SPT>,4.419,¥6.400,2020.02.06,PS4,1
30,3goo,Steel Rats <ACT>,1.067,¥3.980,2018.11.29,PS4,1
31,3goo,Streets of Rage 4 <ACT>,7.042,¥4.600,2020.07.30,NSW,2
32,3goo,Trine 4: The Nightmare Prince <ACT>,807,¥3.400,2019.10.10,PS4,1
33,3goo,Urban Trial Playground <ACT>,3.855,¥4.380,2018.05.24,NSW,2
34,3goo,Victor Vran: Overkill Edition <RPG>,7.743,¥4.800,2019.02.14,NSW,3
35,3goo,Ys Origin <RPG>,20.485,¥5.800,2020.10.01,PS4,4
36,4,Splatoon 2,6.347,¥35.96,2017.07.21,NSW,3
37,"40%-60%, 60%-80%",Minecraft # <ADV>,15.942,¥3.600,2018.06.21,NSW,200
38,5pb.,Chaos;Child # <ADV>,1.327,¥6.800,2015.06.25,PSV,1
39,5pb.,Chaos;Child: Love Chu Chu!! # <ADV>,15.042,¥6.800,2017.03.30,PSV,2
40,5pb.,Danjon ni Deai o Motomeru no wa Machigatteiru Darou ka? Infinite Combate # <RPG>,8.483,¥7.800,2019.11.28,PS4,2
41,5pb.,Fortissimo # <ADV>,6.674,¥6.300,2018.03.08,PSV,2
42,5pb.,Gochuumon wa Usagi Desu ka?? Wonderful Party! # <ADV>,1.23,¥6.800,2016.03.03,PSV,1
43,5pb.,Is It Wrong to Try to Pick Up Girls in a Dungeon? Infinite Combate # <RPG>,783.13,¥7.800,2019.11.28,PS4,5
44,5pb.,Kamaitachi no Yoru: Rinne Saisei <ADV>,10.766,¥6.800,2017.02.16,PSV,1
45,5pb.,Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o! # <ADV>,22.766,¥7.800,2017.09.07,PSV,2
46,5pb.,KonoSuba: God's Blessing on this Wonderful World! Love for this Tempting Attire # <ADV>,7.539,¥7.800,2020.09.24,NSW,2
47,5pb.,Konoyo no Hate de Koi o Utau Shoujo: Yu-No # <ADV>,31.844,¥7.800,2017.03.16,PSV,2
48,5pb.,Meiji Toukyou Renka: Full Moon # <ADV>,2.569,¥6.800,2016.08.25,PSV,2
49,5pb.,Memories Off: Innocent File # <ADV>,17.037,¥7.800,2018.03.29,PS4,4
50,5pb.,Memories Off: Innocent File <ADV>,1.379,¥6.800,2018.10.25,NSW,1
51,5pb.,Memories Off: Innocent Fille for Dearest # <ADV>,8.212,¥7.800,2019.03.28,PS4,4
52,5pb.,New Game! The Challenge Stage! # <ADV>,12.811,¥7.300,2017.01.26,PSV,2
53,5pb.,New Tokyo Legacy: Operation Babel # <RPG>,1.808,¥5.800,2015.04.30,PSV,1
54,5pb.,Occultic;Nine # <ADV>,36.213,¥7.800,2017.11.09,PS4,8
55,5pb.,Our World is Ended # <ADV>,5.287,¥7.800,2019.02.28,PS4,2
56,5pb.,Psycho-Pass: Mandatory Happiness # <ADV>,2.171,¥7.800,2016.03.24,PSV,1
57,5pb.,Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss # <ADV>,26.839,¥7.500,2017.03.30,PSV,2
58,5pb.,Rever dun Manege # <ADV>,2.344,¥6.800,2020.01.30,NSW,1
59,5pb.,Robotics;Notes Dash <ADV>,26.106,¥7.800,2019.01.31,PS4,6
60,5pb.,Robotics;Notes Good Value Set <Robotics;Notes Elite \\ Robotics;Notes Dash> <ADV>,6.296,¥9.250,2019.01.31,NSW,2
61,5pb.,Steins;Gate 0 <ADV>,33.564,¥6.800,2015.12.10,PSV,7
62,5pb.,Steins;Gate Elite # <ADV>,1841.364,¥7.800,2018.09.20,PS4,13
63,5pb.,Steins;Gate: Divergencies Assort <Steins;Gate: My Darling's Embrace \\ Steins;Gate 0 \\ Steins;Gate: Linear Bounded Phenogram> <ADV>,3.573,¥9.250,2019.03.20,NSW,1
